Date,Close,High,Low,Open,Volume,Return,Ticker
2015-01-02,0.4830383360385895,0.48663775266657,0.4753596187060886,0.4830383360385895,113680000,NA,NVDA
2015-01-05,0.4748796820640564,0.48447807824539446,0.4727200608016251,0.4830383116668458,197952000,-0.016890282542463275,NVDA
2015-01-06,0.46048203110694885,0.4760793750444635,0.46000211855302553,0.4755994624905402,197764000,-0.030318523830138222,NVDA
2015-01-07,0.4592823386192322,0.46792088095245704,0.457842572028564,0.463841551814028,321808000,-0.0026052970727928892,NVDA
2015-01-08,0.4765593707561493,0.4794389037929278,0.46432144116601226,0.4645614117875406,283780000,0.037617453762446074,NVDA
2015-01-09,0.4784790277481079,0.48207844387734894,0.47176016531584,0.47823908574308466,209540000,0.0040281591544675255,NVDA
2015-01-12,0.4724800288677216,0.4799187742160899,0.468160758297875,0.4796788036156698,190732000,-0.012537642263276805,NVDA
2015-01-13,0.4717602133750915,0.4856778522728836,0.468400796119421,0.47607948456480526,236720000,-0.0015234834250139606,NVDA
2015-01-14,0.47367990016937256,0.47511966679063367,0.4655212989299397,0.4667210949125265,155260000,0.004069200284074759,NVDA
2015-01-15,0.4703204929828644,0.47991886105014137,0.47008052233902514,0.4770393563510369,188932000,-0.007092146374179986,NVDA
2015-01-16,0.4789591133594513,0.479439026119565,0.4681609189272039,0.469600685812943,181512000,0.0183675185442147,NVDA
2015-01-20,0.4803987741470337,0.4849579586638974,0.47439976585162646,0.48231842476352543,140308000,0.0030058114511790635,NVDA
2015-01-21,0.4871177077293396,0.48831753251710885,0.47439986247511823,0.4777593089489979,144780000,0.013986158882764999,NVDA
2015-01-22,0.4955163896083832,0.49695615670182697,0.4830384844129426,0.4880776120291918,159712000,0.017241586059750125,NVDA
2015-01-23,0.496955931186676,0.4979157564098085,0.4919167486463689,0.4959960487527655,120416000,0.0029051341357861915,NVDA
2015-01-26,0.4947962760925293,0.4971958677293964,0.49167680124352425,0.4947962760925293,133240000,-0.004345767820880475,NVDA
2015-01-27,0.4710403084754944,0.4875975081704167,0.4700804546437573,0.48711756695185354,357948000,-0.04801161359709272,NVDA
2015-01-28,0.4633615911006927,0.4787189949221203,0.4631216204920029,0.4767993158687682,272728000,-0.016301614185956992,NVDA
2015-01-29,0.4746397137641907,0.47727924753822937,0.4614419304724366,0.4636015802207121,235340000,0.024339787500960774,NVDA
2015-01-30,0.46072208881378174,0.4767993779491917,0.4600022341047633,0.4712803106792295,298200000,-0.029322504094807855,NVDA
2015-02-02,0.47080036997795105,0.4727200491669713,0.45448313977936594,0.46360159447316857,259604000,0.02187496846551862,NVDA
