model,rmse,mae,rsq,created
OLS,0.06279514813028228,0.05173444787704843,0.007101645690142303,2025-11-25T21:32:06Z
LASSO,0.05359571466705381,0.0429527342091247,0.1631326353157666,2025-11-25T21:32:06Z
RANGER_RF,0.0607453883665986,0.050403457871529216,0.07857408636143928,2025-11-25T21:32:06Z
XGBoost,0.07268351956429404,0.06139996753669524,0.00881673293867189,2025-11-25T21:32:06Z
