Earnings_Date,Ticker,pred,trade_signal,actual_ret,net_cumret
2015-01-27,AAPL,NA,0,0.07002851541491294,0
2015-04-27,AAPL,NA,0,-0.01852523447050712,0
2015-07-21,AAPL,NA,0,-0.03990696392704006,0
2015-10-27,AAPL,NA,0,0.02936505045746584,0
2016-01-26,AAPL,NA,0,-0.0548435173402434,0
2016-04-26,AAPL,NA,0,-0.0642270455753513,0
2016-07-26,AAPL,NA,0,0.06616187104586356,0
2016-10-25,AAPL,NA,0,-0.02075434037643986,0
2017-01-31,AAPL,NA,0,0.06068244232463327,0
2017-05-02,AAPL,NA,0,-0.00177927451393167,0
2017-08-01,AAPL,NA,0,0.04675775757692401,0
2017-11-02,AAPL,NA,0,0.02301673256629577,0
2018-02-01,AAPL,NA,0,-0.02218172943459517,0
2018-05-01,AAPL,NA,0,0.05138082622560712,0
2018-07-31,AAPL,NA,0,0.05995037419777882,0
2018-11-01,AAPL,NA,0,-0.06001370943937145,0
2019-01-29,AAPL,NA,0,0.05278488148003002,0
2019-04-30,AAPL,NA,0,0.05658763099715002,0
2019-07-30,AAPL,NA,0,0.03128997836747148,0
2019-10-30,AAPL,NA,0,0.0256327850476079,0
2020-01-28,AAPL,NA,0,0.02179912032075925,0
2020-04-30,AAPL,NA,0,0.01195966056907548,0
2020-07-30,AAPL,NA,0,0.09701816874514656,0
2020-10-29,AAPL,NA,0,-0.04388855587415097,0
2021-01-27,AAPL,NA,0,-0.04474574053575374,0
2021-04-28,AAPL,NA,0,-0.00751163843473612,0
2021-07-27,AAPL,NA,0,-0.01200957931622814,0
2021-10-28,AAPL,NA,0,-0.02010516802759964,0
2022-01-27,AAPL,NA,0,0.04543003456672268,0
2022-04-28,AAPL,NA,0,-3.203480338742695e-4,0
2022-07-28,AAPL,NA,0,0.01858518695304445,0
2022-10-27,AAPL,NA,0,0.05092615043979288,0
2023-02-02,AAPL,NA,0,0.03475454081525419,0
2023-05-04,AAPL,NA,0,0.02845215034822402,0
2023-08-03,AAPL,NA,0,-0.04271999910079694,0
2023-11-02,AAPL,NA,0,-0.01457500629762264,0
2024-02-01,AAPL,NA,0,-0.01608955384335508,0
2024-05-02,AAPL,NA,0,0.0472594630513139,0
2024-08-01,AAPL,NA,0,0.02525126287170764,0
2024-10-31,AAPL,NA,0,-0.01737215500314792,0
2025-01-30,AAPL,NA,0,-0.001645305746506,0
2025-05-01,AAPL,NA,0,-0.05208828772901941,0
2025-07-31,AAPL,NA,0,-0.00901153544164556,0
2025-10-30,AAPL,NA,0,-0.00641301844728958,0
2015-01-29,GOOGL,NA,0,0.06037818953309393,0
2015-04-23,GOOGL,NA,0,0.02680769795230776,0
2015-07-16,GOOGL,NA,0,0.16147819767842164,0
2015-10-22,GOOGL,NA,0,0.04503751577914516,0
2016-02-01,GOOGL,NA,0,0.03189890567890995,0
2016-04-21,GOOGL,NA,0,-0.05418883554760601,0
2016-07-28,GOOGL,NA,0,0.03166534465682313,0
2016-10-27,GOOGL,NA,0,0.00581220711008867,0
2017-01-26,GOOGL,NA,0,-0.01307775064343574,0
2017-04-27,GOOGL,NA,0,0.03902171922355934,0
2017-07-24,GOOGL,NA,0,-0.03225273773542336,0
2017-10-26,GOOGL,NA,0,0.03454247350496552,0
2018-02-01,GOOGL,NA,0,-0.03159314244580025,0
2018-04-23,GOOGL,NA,0,-0.0342721710034598,0
2018-07-23,GOOGL,NA,0,0.03415390349484615,0
2018-10-25,GOOGL,NA,0,-6.504570789051013e-4,0
2019-02-04,GOOGL,NA,0,0.00444684130398953,0
2019-04-29,GOOGL,NA,0,-0.0759706072314843,0
2019-07-25,GOOGL,NA,0,0.08881447450480984,0
2019-10-28,GOOGL,NA,0,-0.02113838111768073,0
2020-02-03,GOOGL,NA,0,-0.0400647370503726,0
2020-04-28,GOOGL,NA,0,0.06232650630192049,0
2020-07-30,GOOGL,NA,0,-0.04044573957977269,0
2020-10-29,GOOGL,NA,0,0.05017350411584997,0
2021-02-02,GOOGL,NA,0,0.07181634578381346,0
2021-04-27,GOOGL,NA,0,0.03055323451298286,0
2021-07-27,GOOGL,NA,0,0.03198316501133658,0
2021-10-26,GOOGL,NA,0,0.05464656911840304,0
2022-02-01,GOOGL,NA,0,0.06581506813903348,0
2022-04-26,GOOGL,NA,0,-0.03880687622208,0
2022-07-26,GOOGL,NA,0,0.05040061804240925,0
2022-10-25,GOOGL,NA,0,-0.08401737571807791,0
2023-02-02,GOOGL,NA,0,-0.01711896749775621,0
2023-04-25,GOOGL,NA,0,0.00249311741371039,0
2023-07-25,GOOGL,NA,0,0.05792487233356014,0
2023-10-24,GOOGL,NA,0,-0.08075417432416088,0
2024-01-30,GOOGL,NA,0,-0.05889762064441362,0
2024-04-25,GOOGL,NA,0,0.09203444916066704,0
2024-07-23,GOOGL,NA,0,-0.02723863566172023,0
2024-10-29,GOOGL,NA,0,0.03147094122034666,0
2025-02-04,GOOGL,NA,0,-0.07683235545304068,0
2025-04-24,GOOGL,NA,0,0.00945274168066201,0
2025-07-23,GOOGL,NA,0,0.0094999390897954,0
2025-10-29,GOOGL,NA,0,0.03507144928179417,0
2015-02-11,NVDA,NA,0,0.06195570063936696,0
2015-05-07,NVDA,NA,0,-0.08726854329203859,0
2015-08-06,NVDA,NA,0,0.12659140285557144,0
2015-11-05,NVDA,NA,0,0.1389262790385678,0
2016-02-17,NVDA,NA,0,0.0907104176993698,0
2016-05-13,NVDA,NA,0,0.01972972474013757,0
2016-08-11,NVDA,NA,0,0.05674257519092163,0
2016-11-10,NVDA,NA,0,0.2994647430101379,0
2017-02-09,NVDA,NA,0,-0.02728132374756042,0
2017-05-09,NVDA,NA,0,0.1771286041312694,0
2017-08-10,NVDA,NA,0,-0.05457168519696064,0
2017-11-09,NVDA,NA,0,0.05359594100903375,0
2018-02-08,NVDA,NA,0,0.05199993636929557,0
2018-05-10,NVDA,NA,0,-0.02323536906172739,0
2018-08-16,NVDA,NA,0,-0.05234441586624893,0
2018-11-15,NVDA,NA,0,-0.18978182311168443,0
2019-02-14,NVDA,NA,0,0.00730544158266387,0
2019-05-16,NVDA,NA,0,-0.01701039928476456,0
2019-08-15,NVDA,NA,0,0.05810219286427198,0
2019-11-14,NVDA,NA,0,-0.03438872347250243,0
2020-02-13,NVDA,NA,0,0.06836125401954529,0
2020-05-21,NVDA,NA,0,0.02624963129201752,0
2020-08-19,NVDA,NA,0,-0.00295273015933505,0
2020-11-18,NVDA,NA,0,-0.00309013689633496,0
2021-02-24,NVDA,NA,0,-0.05769914953997102,0
2021-05-26,NVDA,NA,0,-0.01466840352215969,0
2021-08-18,NVDA,NA,0,0.03855427729319505,0
2021-11-17,NVDA,NA,0,0.07911417524074893,0
2022-02-16,NVDA,NA,0,-0.05441824962144226,0
2022-05-25,NVDA,NA,0,0.03172170216963588,0
2022-08-24,NVDA,NA,0,0.02603151646791546,0
2022-11-16,NVDA,NA,0,-0.01155561194323884,0
2023-02-22,NVDA,NA,0,0.13488428810493924,0
2023-05-24,NVDA,NA,0,0.23493885874982176,0
2023-08-23,NVDA,NA,0,0.01445539131270445,0
2023-11-21,NVDA,NA,0,-0.02864865275109862,0
2024-02-21,NVDA,NA,0,0.14288601788726485,0
2024-05-22,NVDA,NA,0,0.10057726883452676,0
2024-08-28,NVDA,NA,0,-0.06380908646751693,0
2024-11-20,NVDA,NA,0,6.092545466569559e-6,0
2025-02-26,NVDA,NA,0,-0.06891608197052335,0
2025-05-28,NVDA,NA,0,0.0284790248364064,0
2025-08-27,NVDA,NA,0,-0.01103123603276345,0
