model,rmse,mae,rsq,period
OLS,0.0772509432088575,0.07245713079175926,0.06013462658748173,pre_2020
RANGER,0.04834819009353835,0.041059241610377176,0.03399578063361943,pre_2020
OLS,NA,NA,NA,covid_2020
RANGER,NA,NA,NA,covid_2020
OLS,NA,NA,NA,post_2020
RANGER,NA,NA,NA,post_2020
OLS,0.08446144502871358,0.06458363528471331,0.0030107217426320544,tightening_2022_onwards
RANGER,0.06267521137805174,0.04660936626165958,0.016456929713694668,tightening_2022_onwards
