model,n_trades,win_rate,mean_ret,median_ret,sd_ret
LASSO,131,0,0,0,0
OLS,131,0.46564885496183206,0.018303226588602707,0,0.05779407156610086
RANGER,131,0,0,0,0
XGBoost,131,0.5572519083969466,0.028915928824327558,0.01195966056907548,0.05191793416415031
